process_type,employee_id,status,event_time,assigned_to
employee-onboarding,EMP-001,応募受付,2025-10-01 09:00:00,EMP-012
employee-onboarding,EMP-001,書類審査,2025-10-02 10:00:00,EMP-007
employee-onboarding,EMP-001,一次面接,2025-10-05 14:00:00,EMP-008
employee-onboarding,EMP-001,二次面接,2025-10-08 15:00:00,EMP-009
employee-onboarding,EMP-001,内定通知,2025-10-10 10:00:00,EMP-012
employee-onboarding,EMP-001,入社手続き,2025-10-20 09:00:00,EMP-010
employee-onboarding,EMP-001,オンボーディング完了,2025-10-21 17:00:00,EMP-011
employee-onboarding,EMP-002,応募受付,2025-10-02 11:00:00,EMP-012
employee-onboarding,EMP-002,書類審査,2025-10-03 14:00:00,EMP-007
employee-onboarding,EMP-002,書類不合格,2025-10-04 10:00:00,EMP-007
employee-onboarding,EMP-003,応募受付,2025-10-03 10:00:00,EMP-012
employee-onboarding,EMP-003,書類審査,2025-10-04 11:00:00,EMP-007
employee-onboarding,EMP-003,一次面接,2025-10-07 10:00:00,EMP-008
employee-onboarding,EMP-003,一次面接不合格,2025-10-07 16:00:00,EMP-008
employee-onboarding,EMP-004,応募受付,2025-10-04 14:00:00,EMP-012
employee-onboarding,EMP-004,書類審査,2025-10-05 15:00:00,EMP-007
employee-onboarding,EMP-004,一次面接,2025-10-08 11:00:00,EMP-008
employee-onboarding,EMP-004,二次面接,2025-10-11 14:00:00,EMP-009
employee-onboarding,EMP-004,内定通知,2025-10-13 09:00:00,EMP-012
employee-onboarding,EMP-004,入社手続き,2025-10-25 10:00:00,EMP-010
employee-onboarding,EMP-004,オンボーディング完了,2025-10-26 16:00:00,EMP-011
employee-onboarding,EMP-005,応募受付,2025-10-05 13:00:00,EMP-012
employee-onboarding,EMP-005,書類審査,2025-10-06 16:00:00,EMP-007
employee-onboarding,EMP-005,一次面接,2025-10-09 15:00:00,EMP-008
employee-onboarding,EMP-005,二次面接,2025-10-12 10:00:00,EMP-009
employee-onboarding,EMP-005,内定通知,2025-10-14 11:00:00,EMP-012
employee-onboarding,EMP-005,内定辞退,2025-10-16 14:00:00,EMP-012
